phenotype,databaseId,description,cohortId,analysisName,sensitivity95Ci,ppv95Ci,specificity95Ci,npv95Ci,cutPoint,truePositives,trueNegatives,falsePositives,falseNegatives,estimatedPrevalence,f1Score,sensitivity,sensitivityCi95Lb,sensitivityCi95Ub,ppv,ppvCi95Lb,ppvCi95Ub,specificity,specificityCi95Lb,specificityCi95Ub,npv,npvCi95Lb,npvCi95Ub,runDateTime,totalSubjects,rawCases,estimatedCases,rawTar,estimatedTar,rawPrevalence,estimatedPrevalence,rawPrevalenceRate,estimatedPrevalenceRate
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Male5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,194449,1,0,0,0,0,0,0.975,0,0,0.975,0.999995,0.999971,1,0.999995,0.999971,1,Feb 06 2024 1:26:53 PM,194449,0,0,1204209.3,1204209.3,0,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Male5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.285),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,193912,11,0,0,0,0,0,0.975,0,0,0.284914,0.999943,0.999899,0.999972,0.999995,0.999971,1,Feb 06 2024 1:26:53 PM,193923,0,0,1199591.8,1199591.8,0,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Male5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.285),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,193900,11,0,0,0,0,0,0.975,0,0,0.284914,0.999943,0.999899,0.999972,0.999995,0.999971,1,Feb 06 2024 1:26:53 PM,193911,0,0,1199452.2,1199452.1,0,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,Male5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.708),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,194149,3,0,0,0,0,0,0.975,0,0,0.707598,0.999985,0.999955,0.999997,0.999995,0.999971,1,Feb 06 2024 1:26:53 PM,194152,0,0,1201627.6,1201627.6,0,0,0,0
alzheimersDiseaseMulti,CCAE_RS,xSpec,11754,Male18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,490790,1,0,0,0,0,0,0.975,0,0,0.975,0.999998,0.999989,1,0.999998,0.999989,1,Feb 06 2024 1:30:04 AM,490790,3,0,1817475.6,1817486.2,0.001,0,0,0
alzheimersDiseaseMulti,CCAE_RS,Prevalence,5278,Male18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.708),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,490787,3,0,0,0,0,0,0.975,0,0,0.707598,0.999994,0.999982,0.999999,0.999998,0.999989,1,Feb 06 2024 1:30:04 AM,490790,3,0,1817475.6,1817486.2,0.001,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Male18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,264656,1,0,0,0,0,0,0.975,0,0,0.975,0.999996,0.999979,1,0.999996,0.999979,1,Feb 06 2024 1:27:09 PM,264656,2,0,1514045.7,1514051.5,0.001,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Male18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.842),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,264654,2,0,0,0,0,0,0.975,0,0,0.841886,0.999992,0.999973,0.999999,0.999996,0.999979,1,Feb 06 2024 1:27:09 PM,264656,2,0,1514045.7,1514051.5,0.001,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Male18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.103),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,263793,34,0,0,0,0,0,0.975,0,0,0.102818,0.999871,0.99982,0.999911,0.999996,0.999979,1,Feb 06 2024 1:27:09 PM,263827,2,0,1506501.9,1506507.7,0.001,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Male18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.103),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,263764,34,0,0,0,0,0,0.975,0,0,0.102818,0.999871,0.99982,0.999911,0.999996,0.999979,1,Feb 06 2024 1:27:09 PM,263798,2,0,1506094.8,1506100.5,0.001,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,Male18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.206),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,264134,16,0,0,0,0,0,0.975,0,0,0.205907,0.999939,0.999902,0.999965,0.999996,0.999979,1,Feb 06 2024 1:27:09 PM,264150,2,0,1509419.4,1509425.2,0.001,0,0,0
alzheimersDiseaseMulti,CCAE_RS,xSpec,11754,Male35-54YO,0.000 (0.000 - 0.195),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,553156,1,17,0.003,0,0,0,0.195064,0,0,0.975,0.999998,0.99999,1,0.999967,0.999949,0.999981,Feb 06 2024 1:40:21 AM,553173,24,17,2438269.2,2438283.5,0.004,0.003,0.001,0.001
alzheimersDiseaseMulti,CCAE_RS,Prevalence,5278,Male35-54YO,0.588 (0.329 - 0.816),0.417 (0.221 - 0.634),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,10,553142,14,7,0.003,0.488,0.588235,0.329247,0.815563,0.416667,0.221097,0.633569,0.999976,0.99996,0.999987,0.999987,0.999974,0.999995,Feb 06 2024 1:40:21 AM,553173,24,17,2438269.2,2438283.5,0.004,0.003,0.001,0.001
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Male35-54YO,0.364 (0.109 - 0.692),0.667 (0.223 - 0.957),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,5,331528,1,6,0.003,0.471,0.363636,0.109263,0.692095,0.666667,0.222778,0.956728,0.999997,0.999983,1,0.999979,0.999956,0.999992,Feb 06 2024 1:27:26 PM,331540,14,11,2132861.6,2132870.6,0.004,0.003,0.001,0.001
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Male35-54YO,0.545 (0.234 - 0.833),0.429 (0.177 - 0.711),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,6,331521,8,5,0.003,0.48,0.545455,0.233794,0.832512,0.428571,0.176611,0.711391,0.999976,0.999952,0.99999,0.999982,0.999961,0.999993,Feb 06 2024 1:27:26 PM,331540,14,11,2132861.6,2132870.6,0.004,0.003,0.001,0.001
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Male35-54YO,1.000 (0.398 - 1.000),0.077 (0.021 - 0.185),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,4,330406,48,1,0.001,0.143,1,0.397635,1,0.076923,0.021357,0.185397,0.999855,0.999807,0.999893,0.999997,0.999983,1,Feb 06 2024 1:27:26 PM,330459,11,5,2123677.5,2123690.6,0.003,0.001,0.001,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Male35-54YO,1.000 (0.398 - 1.000),0.077 (0.021 - 0.185),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,4,330344,48,1,0.001,0.143,1,0.397635,1,0.076923,0.021357,0.185397,0.999855,0.999807,0.999893,0.999997,0.999983,1,Feb 06 2024 1:27:26 PM,330397,11,5,2122888.4,2122901.5,0.003,0.001,0.001,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,Male35-54YO,0.750 (0.194 - 0.994),0.115 (0.024 - 0.302),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,4,330847,22,1,0.001,0.2,0.75,0.19412,0.993691,0.115385,0.024458,0.30154,0.99993,0.999896,0.999956,0.999994,0.999978,0.999999,Feb 06 2024 1:27:26 PM,330874,11,5,2127381.6,2127394.7,0.003,0.001,0.001,0
alzheimersDiseaseMulti,CCAE_RS,xSpec,11754,Male55-64YO,0.128 (0.079 - 0.193),0.950 (0.751 - 0.999),1.000 (1.000 - 1.000),1.000 (0.999 - 1.000),Expected Value,19,290790,1,130,0.051,0.226,0.128378,0.079094,0.1932,0.95,0.751267,0.998735,0.999997,0.999981,1,0.999553,0.999469,0.999627,Feb 06 2024 1:50:32 AM,290940,176,149,1637631.2,1637671.5,0.06,0.051,0.011,0.009
alzheimersDiseaseMulti,CCAE_RS,Prevalence,5278,Male55-64YO,0.834 (0.767 - 0.889),0.708 (0.637 - 0.772),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,131,290738,54,26,0.054,0.766,0.834395,0.766842,0.888878,0.708108,0.636912,0.772499,0.999814,0.999758,0.99986,0.999907,0.999865,0.999939,Feb 06 2024 1:50:32 AM,290949,185,158,1637677.6,1637718.1,0.064,0.054,0.011,0.01
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Male55-64YO,0.655 (0.560 - 0.742),0.871 (0.780 - 0.934),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,74,195624,11,39,0.058,0.747,0.654867,0.559609,0.741786,0.870588,0.780234,0.93359,0.999949,0.999906,0.999975,0.999801,0.999728,0.999858,Feb 06 2024 1:27:44 PM,195748,135,113,1508563.9,1508598.3,0.069,0.058,0.009,0.007
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Male55-64YO,0.867 (0.791 - 0.924),0.726 (0.643 - 0.799),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,98,195598,37,15,0.058,0.79,0.867257,0.790526,0.923761,0.725926,0.642543,0.799119,0.999816,0.999745,0.999871,0.999923,0.999874,0.999957,Feb 06 2024 1:27:44 PM,195748,135,113,1508563.9,1508598.3,0.069,0.058,0.009,0.007
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Male55-64YO,0.896 (0.773 - 0.965),0.384 (0.294 - 0.481),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,44,193904,68,5,0.025,0.538,0.895833,0.773422,0.965302,0.383929,0.293595,0.480561,0.999649,0.999556,0.999728,0.999974,0.99994,0.999992,Feb 06 2024 1:27:44 PM,194021,70,48,1492287.5,1492318.8,0.036,0.025,0.005,0.003
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Male55-64YO,0.896 (0.773 - 0.965),0.384 (0.294 - 0.481),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,44,193758,68,5,0.025,0.538,0.895833,0.773422,0.965302,0.383929,0.293595,0.480561,0.999649,0.999555,0.999728,0.999974,0.99994,0.999992,Feb 06 2024 1:27:44 PM,193875,70,48,1490289.3,1490320.5,0.036,0.025,0.005,0.003
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,Male55-64YO,0.740 (0.597 - 0.854),0.514 (0.393 - 0.633),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,37,194494,35,14,0.026,0.607,0.74,0.596552,0.853699,0.513889,0.3931,0.6335,0.99982,0.99975,0.999875,0.999928,0.999879,0.999961,Feb 06 2024 1:27:44 PM,194580,70,51,1497605.2,1497633.5,0.036,0.026,0.005,0.003
alzheimersDiseaseMulti,CCAE_RS,xSpec,11754,Female5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,304718,1,0,0,0,0,0,0.975,0,0,0.975,0.999997,0.999982,1,0.999997,0.999982,1,Feb 06 2024 2:13:45 AM,304718,0,0,1309554.5,1309554.5,0,0,0,0
alzheimersDiseaseMulti,CCAE_RS,Prevalence,5278,Female5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,304718,1,0,0,0,0,0,0.975,0,0,0.975,0.999997,0.999982,1,0.999997,0.999982,1,Feb 06 2024 2:13:45 AM,304718,0,0,1309554.5,1309554.5,0,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Female5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,185601,1,1,0.001,0,0,0,0.975,0,0,0.975,0.999995,0.99997,1,0.999995,0.99997,1,Feb 06 2024 1:47:53 PM,185601,0,1,1140748.4,1140748.4,0,0.001,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Female5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,185601,1,1,0.001,0,0,0,0.975,0,0,0.975,0.999995,0.99997,1,0.999995,0.99997,1,Feb 06 2024 1:47:53 PM,185601,0,1,1140748.4,1140748.4,0,0.001,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Female5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.265),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,185186,12,1,0.001,0,0,0,0.975,0,0,0.264648,0.999935,0.999887,0.999967,0.999995,0.99997,1,Feb 06 2024 1:47:53 PM,185198,0,1,1137447.8,1137447.8,0,0.001,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Female5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.265),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,185176,12,1,0.001,0,0,0,0.975,0,0,0.264648,0.999935,0.999887,0.999967,0.999995,0.99997,1,Feb 06 2024 1:47:53 PM,185188,0,1,1137345.1,1137345.1,0,0.001,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,Female5-17YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.602),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,185339,4,1,0.001,0,0,0,0.975,0,0,0.602365,0.999978,0.999945,0.999994,0.999995,0.99997,1,Feb 06 2024 1:47:53 PM,185343,0,1,1138596.4,1138596.4,0,0.001,0,0
alzheimersDiseaseMulti,CCAE_RS,xSpec,11754,Female18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,619743,1,1,0,0,0,0,0.975,0,0,0.975,0.999998,0.999991,1,0.999998,0.999991,1,Feb 06 2024 2:20:46 AM,619744,8,1,2072835,2072848.4,0.001,0,0,0
alzheimersDiseaseMulti,CCAE_RS,Prevalence,5278,Female18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.369),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,619736,8,0,0,0,0,0,0.975,0,0,0.369417,0.999987,0.999975,0.999994,0.999998,0.999991,1,Feb 06 2024 2:20:46 AM,619744,8,1,2072835,2072848.4,0.001,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Female18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,307312,1,1,0,0,0,0,0.975,0,0,0.975,0.999997,0.999982,1,0.999997,0.999982,1,Feb 06 2024 1:48:09 PM,307313,5,1,1686686.7,1686696.9,0.002,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Female18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.522),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,307308,5,0,0,0,0,0,0.975,0,0,0.521824,0.999984,0.999962,0.999995,0.999997,0.999982,1,Feb 06 2024 1:48:09 PM,307313,5,1,1686686.7,1686696.9,0.002,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Female18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.137),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,306457,25,0,0,0,0,0,0.975,0,0,0.137185,0.999918,0.99988,0.999947,0.999997,0.999982,1,Feb 06 2024 1:48:09 PM,306482,5,1,1679555.1,1679565.3,0.002,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Female18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.137),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,306435,25,0,0,0,0,0,0.975,0,0,0.137185,0.999918,0.99988,0.999947,0.999997,0.999982,1,Feb 06 2024 1:48:09 PM,306460,5,1,1679276.2,1679286.5,0.002,0,0,0
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,Female18-34YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.369),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,306857,8,1,0,0,0,0,0.975,0,0,0.369417,0.999974,0.999949,0.999989,0.999997,0.999982,1,Feb 06 2024 1:48:09 PM,306866,5,1,1682786.9,1682797.1,0.002,0,0,0
alzheimersDiseaseMulti,CCAE_RS,xSpec,11754,Female35-54YO,0.120 (0.025 - 0.312),0.600 (0.147 - 0.947),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,4,655290,1,22,0.004,0.2,0.12,0.025465,0.31219,0.6,0.146633,0.947255,0.999998,0.999991,1,0.999966,0.999949,0.999979,Feb 06 2024 2:28:48 AM,655317,52,26,2808406.7,2808447.1,0.008,0.004,0.002,0.001
alzheimersDiseaseMulti,CCAE_RS,Prevalence,5278,Female35-54YO,0.839 (0.663 - 0.945),0.426 (0.300 - 0.559),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,27,655260,34,5,0.005,0.565,0.83871,0.662728,0.945476,0.42623,0.300417,0.559448,0.999947,0.999926,0.999963,0.999991,0.99998,0.999997,Feb 06 2024 2:28:48 AM,655326,61,32,2808469.3,2808518,0.009,0.005,0.002,0.001
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Female35-54YO,0.704 (0.498 - 0.862),0.655 (0.457 - 0.821),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,19,381099,10,8,0.007,0.679,0.703704,0.498186,0.862473,0.655172,0.456694,0.820616,0.999976,0.999955,0.999989,0.999979,0.999959,0.999991,Feb 06 2024 1:48:27 PM,381136,49,27,2446058.3,2446100.5,0.013,0.007,0.002,0.001
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Female35-54YO,0.852 (0.663 - 0.958),0.469 (0.325 - 0.617),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,23,381083,26,4,0.007,0.605,0.851852,0.662689,0.958113,0.469388,0.325339,0.617269,0.999932,0.9999,0.999955,0.999987,0.999969,0.999996,Feb 06 2024 1:48:27 PM,381136,49,27,2446058.3,2446100.5,0.013,0.007,0.002,0.001
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Female35-54YO,0.800 (0.519 - 0.957),0.179 (0.096 - 0.292),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,13,379536,54,2,0.004,0.293,0.8,0.519109,0.956688,0.179104,0.096119,0.291963,0.999858,0.999814,0.999893,0.999992,0.999977,0.999998,Feb 06 2024 1:48:27 PM,379605,35,15,2432710.7,2432750.7,0.009,0.004,0.001,0.001
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Female35-54YO,0.800 (0.519 - 0.957),0.179 (0.096 - 0.292),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,13,379449,54,2,0.004,0.293,0.8,0.519109,0.956688,0.179104,0.096119,0.291963,0.999858,0.999814,0.999893,0.999992,0.999977,0.999998,Feb 06 2024 1:48:27 PM,379518,35,15,2431573.8,2431613.8,0.009,0.004,0.001,0.001
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,Female35-54YO,0.733 (0.449 - 0.922),0.306 (0.163 - 0.481),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,11,380295,25,4,0.004,0.431,0.733333,0.448997,0.922128,0.305556,0.163474,0.481071,0.999934,0.999903,0.999957,0.999987,0.999969,0.999996,Feb 06 2024 1:48:27 PM,380335,35,15,2439263.5,2439303.1,0.009,0.004,0.001,0.001
